study,entered.by,host.species,host.type,host.therm,parasite.species,parasite.type,parasite.group,parasite.measure,hp_sampled,iduration_bin,iduration_bin_clean,iduration_confidence,sample.size,experimental.design,study.duration,sampling.method,subset.studied,sex,age,condition.measure,cm.speed,condition.quantification,size.measure,external.measure,ott_id,phypc1,phypc2,close,nonclose,vector,intermediate,tmode,effect.direction,yi,yir,rlower,rupper,vi
Nordeide et al. 2016 Parasitology,CAS,Gasterosteus_aculeatus,fish,ectotherm,Schistocephalus solidus,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,175,observational,cross-sectional,LC,no,NA,NA,residual from a linear regression of dry weight over length,NA,adjusted quantitative,body size,external,401066,NA,NA,0,0,0,1,intermediate,1,0.169464208,0.167860398,0.020015682,0.30852106,0.005813953
Nordeide et al. 2016 Parasitology,CAS,Gasterosteus_aculeatus,fish,ectotherm,Schistocephalus solidus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,473,observational,cross-sectional,LC,no,NA,NA,residual from a linear regression of dry weight over length,NA,adjusted quantitative,body size,external,401066,NA,NA,0,0,0,1,intermediate,-1,-0.333992502,-0.322103642,-0.400629785,-0.238880102,0.00212766
Heins 2012 Biological Journal of the Linnean Society,CAS,Gasterosteus_aculeatus,fish,ectotherm,Schistocephalus solidus,helminth,helminth,binary infection,hp not randomly sampled,NA,NA,NA,1977,observational,cross-sectional,LC,yes,F,NA,residuals from a regression of body mass on standard length,NA,adjusted quantitative,body size,external,401066,NA,NA,0,0,0,1,intermediate,-1,-0.06048406,-0.060410411,-0.104218068,-0.016368793,0.000506586
Lehmann 1992 Parasitology,PB,Gerbillus_andersoni,mammal,endotherm,Mesostigmatida,ectoparasite,ectoparasite,intensity,hp randomly sampled,1,acute,1,181,observational,cross-sectional,LC,yes,F,NA,weight/third power of length,rapid,adjusted quantitative,body size,external,3608937,NA,NA,NA,NA,NA,NA,NA,1,0.020002667,0.02,-0.126225976,0.165375329,0.005617978
Lehmann 1992 Parasitology,PB,Gerbillus_andersoni,mammal,endotherm,Polyplax gerbilli,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,181,observational,cross-sectional,LC,yes,F,NA,weight/third power of length,NA,adjusted quantitative,body size,external,3608937,NA,NA,NA,NA,NA,NA,NA,-1,-0.234189467,-0.23,-0.363658016,-0.087062971,0.005617978
Lehmann 1992 Parasitology,PB,Gerbillus_andersoni,mammal,endotherm,Rhipicephalus sanguineus,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,181,observational,cross-sectional,LC,yes,F,NA,weight/third power of length,NA,adjusted quantitative,body size,external,3608937,NA,NA,0,1,0,0,non-close,-1,-0.020002667,-0.02,-0.165375329,0.126225976,0.005617978
Lehmann 1992 Parasitology,PB,Gerbillus_andersoni,mammal,endotherm,Stenoponia tripectinata,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,181,observational,cross-sectional,LC,yes,F,NA,weight/third power of length,NA,adjusted quantitative,body size,external,3608937,NA,NA,NA,NA,NA,NA,NA,-1,-0.070114671,-0.07,-0.213676113,0.076640255,0.005617978
Lehmann 1992 Parasitology,PB,Gerbillus_andersoni,mammal,endotherm,Synosternus cleopatrae,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,181,observational,cross-sectional,LC,yes,F,NA,weight/third power of length,NA,adjusted quantitative,body size,external,3608937,NA,NA,NA,NA,NA,NA,NA,-1,-0.120581028,-0.12,-0.26128451,0.026318404,0.005617978
Hoffnagle et al. 2006 Journal of Aquatic Animal Health,PB,Gila_cypha,fish,ectotherm,Bothriocephalus acheilognathi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,73,observational,cross-sectional,LC,yes,NA,J,Abdominal fat index (visual estimation % of organs covered by fat),NA,raw quantitative,not body size,invasive,114469,NA,NA,NA,NA,NA,NA,NA,-1,-0.237359351,-0.233,-0.439507197,-0.003098838,0.014285714
Hoffnagle et al. 2006 Journal of Aquatic Animal Health,PB,Gila_cypha,fish,ectotherm,Bothriocephalus acheilognathi,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,73,observational,cross-sectional,LC,yes,NA,J,"K = 100,000 x (body weight/length exp 3)",NA,adjusted quantitative,body size,external,114469,NA,NA,NA,NA,NA,NA,NA,-1,-0.298566264,-0.29,-0.487538919,-0.064217268,0.014285714
Hoffnagle et al. 2006 Journal of Aquatic Animal Health,PB,Gila_cypha,fish,ectotherm,Lernaea cyprinacea,ectoparasite,ectoparasite,intensity,hp randomly sampled,2,acute,2,82,observational,cross-sectional,LC,yes,NA,J,Abdominal fat index (visual estimation % of organs covered by fat),medium,raw quantitative,not body size,invasive,114469,NA,NA,NA,NA,NA,NA,NA,-1,-0.198569333,-0.196,-0.396157214,0.021940322,0.012658228
Hoffnagle et al. 2006 Journal of Aquatic Animal Health,PB,Gila_cypha,fish,ectotherm,Lernaea cyprinacea,ectoparasite,ectoparasite,intensity,hp randomly sampled,2,acute,2,82,observational,cross-sectional,LC,yes,NA,J,"K = 100,000 x (body weight/length exp 3)",rapid,adjusted quantitative,body size,external,114469,NA,NA,NA,NA,NA,NA,NA,-1,-0.270403228,-0.264,-0.454943469,-0.0498487,0.012658228
Pelabon et al. 2005 Marine Biology,CAS,Gobiusculus_flavescens,fish,ectotherm,Microsporida sp.,fungus,microparasite,binary infection,hp randomly sampled,3,chronic,2,86,observational,cross-sectional,LC,yes,M,NA,hepatosomatic index (HSI: 100 Ã— liver mass/body mass),medium,adjusted quantitative,body size,invasive,637893,NA,NA,NA,NA,NA,NA,NA,-1,-0.3127766,-0.302960963,-0.483782321,-0.097333472,0.012048193
Pelabon et al. 2005 Marine Biology,CAS,Gobiusculus_flavescens,fish,ectotherm,Microsporida sp.,fungus,microparasite,binary infection,hp randomly sampled,3,chronic,2,86,observational,cross-sectional,LC,yes,M,NA,residuals from the regression of body mass over total length (on a log-scale),rapid,adjusted quantitative,body size,external,637893,NA,NA,NA,NA,NA,NA,NA,1,0.064347676,0.06425901,-0.149653834,0.272425289,0.012048193
Puttker et al. 2008 Ecological Research,CAS,Gracilinanus_microtarsus,mammal,endotherm,Multiple nematode spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,18,observational,cross-sectional,LC,yes,NA,A,residuals from a regression of body mass on tibia length,NA,adjusted quantitative,body size,external,608036,NA,NA,NA,NA,NA,NA,NA,-1,-0.083191387,-0.083,-0.529357361,0.39934477,0.066666667
Puttker et al. 2008 Ecological Research,CAS,Gracilinanus_microtarsus,mammal,endotherm,Multiple nematode spp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,18,observational,cross-sectional,LC,yes,NA,A,residuals from a regression of body mass on tibia length,NA,adjusted quantitative,body size,external,608036,NA,NA,NA,NA,NA,NA,NA,-1,-0.364304607,-0.349,-0.701559598,0.140813972,0.066666667
Hawley et al. 2012 Functional Ecology,DJB,Haemorhous_mexicanus,bird,endotherm,Mycoplasma gallisepticum,bacterium,microparasite,binary infection,hp randomly sampled,3,chronic,2,30,experimental,NA,CZ,no,NA,NA,body mass,rapid,raw quantitative,body size,external,711865,NA,NA,NA,NA,NA,NA,NA,-1,-0.181260525,-0.179301144,-0.506830779,0.193465295,0.037037037
Hawley et al. 2012 Functional Ecology,DJB,Haemorhous_mexicanus,bird,endotherm,Mycoplasma gallisepticum,bacterium,microparasite,binary infection,hp randomly sampled,3,chronic,2,30,experimental,NA,CZ,no,NA,NA,pectoral muscle condition (1-4 by touch),medium,qualitative,not body size,external,711865,NA,NA,NA,NA,NA,NA,NA,-1,-0.300430633,-0.291706651,-0.589973799,0.07661418,0.037037037
Galvan et al. 2012 Journal of Avian Biology,CAS,Hippolais_icterina,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,11,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,433851,NA,NA,NA,NA,NA,NA,NA,1,0.430812377,0.406,-0.256295621,0.808874284,0.125
Galvan et al. 2012 Journal of Avian Biology,CAS,Hippolais_polyglotta,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,91,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,433853,NA,NA,NA,NA,NA,NA,NA,-1,-0.107411176,-0.107,-0.306197451,0.101174336,0.011363636
Galvan et al. 2012 Journal of Avian Biology,CAS,Hirundo_rustica,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,6030,observational,cross-sectional,LC,no,NA,NA,body mass; wing length as a covariate,NA,adjusted quantitative,body size,external,1040135,NA,NA,NA,NA,NA,NA,NA,1,0.100335348,0.1,0.074948253,0.1249256,0.00016592
Eberhardt et al. 2013 PLoS One,CST,Hydrochoerus_hydrochaeris,mammal,endotherm,Echinocholeus hydrochaeri,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,27,experimental,NA,CZ,yes,F,NA,abdominal fat score (1-5),NA,qualitative,not body size,external,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.165181231,-0.163695134,-0.511867637,0.230667858,0.041666667
Salas & Herrera 2004 Mem Inst Oswaldo Cruz,AKD,Hydrochoerus_hydrochaeris,mammal,endotherm,Hippocrepis hippocrepis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,40,observational,cross-sectional,LC,no,NA,NA,eviscerated body mass (kg) â€?estimated body mass (kg)]/estimated body mass (kg),NA,raw quantitative,body size,invasive,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.298566264,-0.29,-0.551672517,0.023645422,0.027027027
Salas & Herrera 2004 Mem Inst Oswaldo Cruz,AKD,Hydrochoerus_hydrochaeris,mammal,endotherm,Monoecocestus hagmanni,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,40,observational,cross-sectional,LC,no,NA,NA,eviscerated body mass (kg) â€?estimated body mass (kg)]/estimated body mass (kg),NA,raw quantitative,body size,invasive,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,1,0.171666664,0.17,-0.149422241,0.457292688,0.027027027
Salas & Herrera 2004 Mem Inst Oswaldo Cruz,AKD,Hydrochoerus_hydrochaeris,mammal,endotherm,Monoecocestus macrobursatum,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,40,observational,cross-sectional,LC,no,NA,NA,eviscerated body mass (kg) â€?estimated body mass (kg)]/estimated body mass (kg),NA,raw quantitative,body size,invasive,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.354092529,-0.34,-0.589114373,-0.031865643,0.027027027
Salas & Herrera 2004 Mem Inst Oswaldo Cruz,AKD,Hydrochoerus_hydrochaeris,mammal,endotherm,Protozoophaga obesa,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,20,observational,cross-sectional,LC,no,NA,NA,eviscerated body mass (kg) â€?estimated body mass (kg)]/estimated body mass (kg),NA,raw quantitative,body size,invasive,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.040021354,-0.04,-0.474128317,0.409774125,0.058823529
Eberhardt et al. 2013 PLoS One,CST,Hydrochoerus_hydrochaeris,mammal,endotherm,Strongyloides chapini,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,27,experimental,NA,CZ,yes,F,NA,abdominal fat score (1-5),NA,qualitative,not body size,external,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.40685135,-0.385795931,-0.667891732,-0.006775273,0.041666667
Salas & Herrera 2004 Mem Inst Oswaldo Cruz,AKD,Hydrochoerus_hydrochaeris,mammal,endotherm,Taxorchis schistocotyle,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,30,observational,cross-sectional,LC,no,NA,NA,eviscerated body mass (kg) â€?estimated body mass (kg)]/estimated body mass (kg),NA,raw quantitative,body size,invasive,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.040021354,-0.04,-0.394582978,0.324952031,0.037037037
Eberhardt et al. 2013 PLoS One,CST,Hydrochoerus_hydrochaeris,mammal,endotherm,Trichostrongylus sp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,27,experimental,NA,CZ,yes,F,NA,abdominal fat score (1-5),NA,qualitative,not body size,external,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.308658637,-0.299216318,-0.609882727,0.091163522,0.041666667
Eberhardt et al. 2013 PLoS One,CST,Hydrochoerus_hydrochaeris,mammal,endotherm,Trichuris sp.,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,27,experimental,NA,CZ,yes,F,NA,abdominal fat score (1-5),NA,qualitative,not body size,external,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.438851519,-0.412692016,-0.685240573,-0.038756124,0.041666667
Eberhardt et al. 2013 PLoS One,CST,Hydrochoerus_hydrochaeris,mammal,endotherm,Viannaidae,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,27,experimental,NA,CZ,yes,F,NA,abdominal fat score (1-5),NA,qualitative,not body size,external,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.242216509,-0.237588239,-0.566458456,0.156561139,0.041666667
Salas & Herrera 2004 Mem Inst Oswaldo Cruz,AKD,Hydrochoerus_hydrochaeris,mammal,endotherm,Viannella hydrochoeri,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,20,observational,cross-sectional,LC,no,NA,NA,eviscerated body mass (kg) â€?estimated body mass (kg)]/estimated body mass (kg),NA,raw quantitative,body size,invasive,744018,0.370625032,-0.521844217,NA,NA,NA,NA,NA,-1,-0.549306144,-0.5,-0.771760706,-0.073810574,0.058823529
Bridge 2003 International Journal of Acarology,DJB,Hydroprogne_caspia,bird,endotherm,Zachvatkinia caspica,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,74,observational,cross-sectional,LC,no,NA,NA,body size,NA,raw quantitative,body size,external,651058,NA,NA,NA,NA,NA,NA,NA,-1,-0.265100812,-0.259060273,-0.460310932,-0.032484448,0.014084507
Bridge 2003 International Journal of Acarology,DJB,Hydroprogne_caspia,bird,endotherm,Zachvatkinia caspica,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,74,observational,cross-sectional,LC,no,NA,NA,fat score,NA,qualitative,not body size,external,651058,NA,NA,NA,NA,NA,NA,NA,-1,-0.425806354,-0.40181067,-0.577305158,-0.190832917,0.014084507
Ruiz et al. 1995 Ornis Fennica,AKD,Ichthyaetus_audouinii,bird,endotherm,Haemoproteus lari,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,21,observational,cross-sectional,LC,yes,M,A,ratio of body mass to tarsus length,NA,adjusted quantitative,body size,external,802818,NA,NA,NA,NA,NA,NA,NA,1,0.647522845,0.57,0.183454239,0.803882319,0.055555556
Ruiz et al. 1995 Ornis Fennica,AKD,Ichthyaetus_audouinii,bird,endotherm,Haemoproteus lari,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,17,observational,cross-sectional,LC,yes,M,A,ratio of body mass to tarsus length,NA,adjusted quantitative,body size,external,802818,NA,NA,NA,NA,NA,NA,NA,1,0.056058649,0.056,-0.436390705,0.522578975,0.071428571
Ruiz et al. 1995 Ornis Fennica,AKD,Ichthyaetus_audouinii,bird,endotherm,Haemoproteus lari,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,27,observational,cross-sectional,LC,yes,F,A,ratio of body mass to tarsus length,NA,adjusted quantitative,body size,external,802818,NA,NA,NA,NA,NA,NA,NA,-1,-0.080171325,-0.08,-0.446441641,0.309420701,0.041666667
Ruiz et al. 1995 Ornis Fennica,AKD,Ichthyaetus_audouinii,bird,endotherm,Haemoproteus lari,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,25,observational,cross-sectional,LC,yes,F,A,ratio of body mass to tarsus length,NA,adjusted quantitative,body size,external,802818,NA,NA,NA,NA,NA,NA,NA,-1,-0.070114671,-0.07,-0.452612029,0.334379557,0.045454545
Garvin et al. 2006 Journal of Parasitology,DJB,Icterus_galbula,bird,endotherm,Haemoproteus,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,19,observational,cross-sectional,LC,no,NA,NA,body mass,NA,raw quantitative,body size,external,1077595,NA,NA,NA,NA,NA,NA,NA,-1,-0.43146913,-0.40654835,-0.726587429,0.058455149,0.0625
Garvin et al. 2006 Journal of Parasitology,DJB,Icterus_galbula,bird,endotherm,Haemoproteus,protozoan,microparasite,binary infection,hp not randomly sampled,NA,NA,NA,19,observational,cross-sectional,LC,no,NA,NA,fat score,NA,qualitative,not body size,external,1077595,NA,NA,NA,NA,NA,NA,NA,-1,-0.161250443,-0.159867232,-0.572505102,0.317388654,0.0625
Fokidis et al. 2008 J. Avian. Biol.,AKD,Kieneria_fusca,bird,endotherm,Haemoproteus,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,25,observational,cross-sectional,LC,no,NA,NA,residuals of body mass on tarsus length,NA,adjusted quantitative,body size,external,463029,NA,NA,NA,NA,NA,NA,NA,-1,-0.320545409,-0.31,-0.628184247,0.097014228,0.045454545
Munyeme et al. 2010 Preventive Veterinary Medicine,CST,Kobus_leche_kafuensis,mammal,endotherm,Tuberculosis,bacterium,microparasite,binary infection,hp randomly sampled,3,chronic,2,119,observational,cross-sectional,LC,no,NA,NA,qualitative,medium,qualitative,not body size,external,177660,NA,NA,1,1,0,0,multiple modes,-1,-0.312340921,-0.30256522,-0.457637643,-0.129629337,0.00862069
Dudek et al. 2016 Ticks and Tick-borne Diseases,CAS,Lacerta_agilis,reptile,ectotherm,Ixodes ricinus,ectoparasite,ectoparasite,intensity,hp randomly sampled,1,acute,2,500,observational,cross-sectional,LC,no,NA,NA,snout-vent length,slow,raw quantitative,body size,external,862848,NA,NA,0,1,0,0,non-close,1,0.099190408,0.09886638,0.01127353,0.184953485,0.002012072
Stuart-Fox et al. 2009 PLoS One,CST,Lacerta_schreiberi,reptile,ectotherm,ticks,ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,116,observational,cross-sectional,LC,yes,M,NA,snout vent length/mass residual,NA,adjusted quantitative,body size,external,1014441,NA,NA,NA,NA,NA,NA,NA,-1,-0.276863823,-0.27,-0.431095711,-0.092223122,0.008849558
Martinez-Padilla et al. 2011 Biology Letters,DJB,Lagopus_lagopus_scotica,bird,endotherm,Trichostrongylus tenuis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,674,observational,cross-sectional,LC,yes,F,NA,body mass,NA,raw quantitative,body size,external,1004888,NA,NA,NA,NA,NA,NA,NA,-1,-0.136079518,-0.135245737,-0.20863432,-0.060342547,0.001490313
Schei et al. 2005 Ornis Fennica,CAS,Lagopus_lagopus_scotica,bird,endotherm,Trichostrongylus tenuis,helminth,helminth,intensity,hp not randomly sampled,NA,NA,NA,34,observational,cross-sectional,LC,yes,NA,J,Residuals from a regression of body mass on skull length,NA,adjusted quantitative,body size,external,444614,NA,NA,NA,NA,NA,NA,NA,-1,-0.477123872,-0.443937261,-0.680015997,-0.124455341,0.032258065
Galvan et al. 2012 Journal of Avian Biology,CAS,Lanius_collurio,bird,endotherm,feather mite (Acari: Astigmata),ectoparasite,ectoparasite,intensity,hp not randomly sampled,NA,NA,NA,73,observational,cross-sectional,LC,no,NA,NA,body mass; tarsus length as a covariate,NA,adjusted quantitative,body size,external,489155,NA,NA,NA,NA,NA,NA,NA,1,0.286597332,0.279,0.052289096,0.47836182,0.014285714
Bosch et al. 1997 Ornis Fennica,AKD,Larus_cachinnans,bird,endotherm,Haemoproteus,protozoan,microparasite,intensity,hp not randomly sampled,NA,NA,NA,25,observational,cross-sectional,LC,yes,M,NA,mass/tarsus length,NA,adjusted quantitative,body size,external,1092580,NA,NA,NA,NA,NA,NA,NA,-1,-0.266108407,-0.26,-0.594096925,0.150602947,0.045454545
